"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Dacryodes-type"," "
"2","",0,"Diospyros"," "
"3","",0,"Alchornea"," "
"4","",0,"Uapaca"," "
"5","",0,"Pentaclethra eetveldeana"," "
"6","",0,"Pentaclethra macrophylla"," "
"7","",0,"Pycnanthus"," "
"8","",0,"Liguliflorae"," "
"9","",0,"Sapotaceae"," "
"10","",0,"Gramineae"," "
"11","",0,"Elaeis guineensis"," "
"12","",0,"Cardiospermum"," "
"13","",0,"Tubuliflorae"," "
"14","",0,"Acridocarpus"," "
"15","",0,"Bridelia"," "
"16","",0,"Celastraceae"," "
"17","",0,"Indetermines"," "
"18","",0,"Indeterminables"," "
"19","",0,"Croton-type"," "
"20","",0,"Tetrorchidium"," "
"21","",0,"Landolphia-type"," "
"22","",0,"Cyperaceae"," "
"23","",0,"Amaranthaceae"," "
"24","",0,"Macaranga"," "
"25","",0,"Anthocleista"," "
"26","",0,"Moraceae"," "
"27","",0,"Ficus"," "
"28","",0,"Campylospermum"," "
"29","",0,"Podocarpus"," "
"30","",0,"Rubiaceae"," "
"31","",0,"Allophylus"," "
"32","",0,"Monoletes"," "
"33","",0,"Triletes"," "
"34","",0,"Polypodiaceae"," "
"35","",0,"Caesalpinioideae"," "
"36","",0,"Euphorbia"," "
"37","",0,"Plagiostyles africana"," "
"38","",0,"Laurembergia tetrandra"," "
"39","",0,"Hymenocardia"," "
"40","",0,"Leguminosae"," "
"41","",0,"Utricularia"," "
"42","",0,"Flabellaria-type paniculata"," "
"43","",0,"Abutilon-type"," "
"44","",0,"Hibiscus-type micranthus"," "
"45","",0,"Calpocalyx-type letestui"," "
"46","",0,"Myrianthus-type holstii"," "
"47","",0,"Treculia-type africana"," "
"48","",0,"Trilepisium-type madagascariensis"," "
"49","",0,"Syzygium-type"," "
"50","",0,"Nymphaea lotus-type"," "
"51","",0,"Olea capensis"," "
"52","",0,"Potamogeton thunbergii-type"," "
"53","",0,"Canthium gueinzii-type"," "
"54","",0,"Canthium schimperianum-type"," "
"55","",0,"Hallea-type rubrostipulata"," "
"56","",0,"Pausinystalia-type macroceras"," "
"57","",0,"Psychotria-type amboniana"," "
"58","",0,"Stipularia africana"," "
"59","",0,"Eriocoelum macrocarpum-type"," "
"60","",0,"Lecaniodiscus-type cupanioides"," "
"61","",0,"Grewia-type tenax"," "
"62","",0,"Xyris"," "
"63","",0,"Dracaena steudneri-type"," "
"64","",0,"Limnophyton-type"," "
"65","",0,"Crudia-type gabonensis"," "
"66","",0,"Cleistanthus-type"," "
"67","",0,"Papilionoideae"," "
"68","",0,"Celtis"," "
"69","",0,"Combretaceae"," "
"70","",0,"Euphorbiaceae"," "
"71","",0,"Lannea-type"," "
"72","",0,"Loranthaceae"," "
"73","",0,"Tacazzea-type apiculata"," "
"74","",0,"Baikiaea"," "
"75","",0,"Polygala"," "
"76","",0,"Tetracera"," "
"77","",0,"Chrysobalanus/Parinari"," "
"78","",0,"Ceiba pentandra"," "
"79","",0,"Cercestis congoensis"," "
"80","",0,"Guibourtia-type demeusii"," "
"81","",0,"Gaertnera"," "
"82","",0,"Alstonia-type boonei"," "
"83","",0,"Leguminosae sp.1"," "
"84","Chron1",0,"Sample age"," "
"85","Chron10",0,"Sample age"," "
"86","Chron20",0,"Sample age"," "
