"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Rhizophora racemosa-type"," "
"2","",0,"Cassipourea"," "
"3","",0,"Avicennia"," "
"4","",0,"Acrostichum aureum"," "
"5","",0,"Apocynaceae undiff."," "
"6","",0,"Alstonia-type congensis"," "
"7","",0,"Strophanthus-type"," "
"8","",0,"Funtumia-type"," "
"9","",0,"Hollarhena-type"," "
"10","",0,"Landolphia-type"," "
"11","",0,"Tabernaemontana"," "
"12","",0,"Alafia-type"," "
"13","",0,"Rauvolfia vomitoria-type"," "
"14","",0,"Euphorbiaceae undiff."," "
"15","",0,"Alchornea cordifolia-type"," "
"16","",0,"Uapaca"," "
"17","",0,"Spondianthus-type preussii"," "
"18","",0,"Antidesma-type"," "
"19","",0,"Jatropha-type"," "
"20","",0,"Bridelia"," "
"21","",0,"Sapium"," "
"22","",0,"Ricinus communis"," "
"23","",0,"Hura crepitans"," "
"24","",0,"Celtis"," "
"25","",0,"Chaetacme aristata"," "
"26","",0,"Strychnos"," "
"27","",0,"Anthocleista vogelii-type"," "
"28","",0,"Ceiba pentandra"," "
"29","",0,"Bombax"," "
"30","",0,"Sapotaceae/Meliaceae"," "
"31","",0,"Bequaertiodendron"," "
"32","",0,"Mimusops-type"," "
"33","",0,"Chrysophyllum-type"," "
"34","",0,"Trichilia-type"," "
"35","",0,"Entandopragma-type"," "
"36","",0,"Carapa procera"," "
"37","",0,"Khaya-type"," "
"38","",0,"Combretaceae/Melastomataceae"," "
"39","",0,"Terminalia-type"," "
"40","",0,"Laguncularia racemosa"," "
"41","",0,"Arecaceae undiff."," "
"42","",0,"Laccosperma-type"," "
"43","",0,"Cocos nucifera"," "
"44","",0,"Calamus deeratus"," "
"45","",0,"Raphia"," "
"46","",0,"Elaeis guineensis"," "
"47","",0,"Symphonia globulifera"," "
"48","",0,"Pentadesma"," "
"49","",0,"Cissus"," "
"50","",0,"Leea guineesis"," "
"51","",0,"Pentachletra macrophylla"," "
"52","",0,"Piptadeniastrum-type africanum"," "
"53","",0,"Entada-type"," "
"54","",0,"Albizia"," "
"55","",0,"Acacia"," "
"56","",0,"Fabaceae undiff."," "
"57","",0,"Milletia-type"," "
"58","",0,"Pterocarpus-type"," "
"59","",0,"Baphia-type"," "
"60","",0,"Drepanocarpus lunatus-type"," "
"61","",0,"Aechynomene-type"," "
"62","",0,"Lonchocarpus-type"," "
"63","",0,"Angilocalyx-type"," "
"64","",0,"Caesalpiniaceae undiff."," "
"65","",0,"Cassia"," "
"66","",0,"Berlinia-type"," "
"67","",0,"Crudia"," "
"68","",0,"Anthonotha"," "
"69","",0,"Mezoneuron-type"," "
"70","",0,"Afzelia africana-type"," "
"71","",0,"Triplochiton scleroxylon-type"," "
"72","",0,"Cola-type"," "
"73","",0,"Sterculia-type"," "
"74","",0,"Mansonia-type"," "
"75","",0,"Nesogordonia"," "
"76","",0,"Pentas"," "
"77","",0,"Macrosphyra"," "
"78","",0,"Psychotria-type"," "
"79","",0,"Sherbournia bignoniifolia-type"," "
"80","",0,"Gaertnera paniculata-type"," "
"81","",0,"Canthium subcordata"," "
"82","",0,"Nauclea-type"," "
"83","",0,"Morelia senegalensis"," "
"84","",0,"Virecta"," "
"85","",0,"Cuviera"," "
"86","",0,"Gardenia-type imperialis"," "
"87","",0,"Sabicea"," "
"88","",0,"Oxyanthus-type"," "
"89","",0,"Oldenladia-type"," "
"90","",0,"Spathodea-type campanulata"," "
"91","",0,"Newbouldia laevis"," "
"92","",0,"Grewia-type"," "
"93","",0,"Triumfetta-type"," "
"94","",0,"Glyphaea brevis"," "
"95","",0,"Clappertonia ficifolia"," "
"96","",0,"Lannea-type"," "
"97","",0,"Spondias-type mombin"," "
"98","",0,"Anthrocaryon-type"," "
"99","",0,"Diospyros"," "
"100","",0,"Monodora"," "
"101","",0,"Bosqueia-type"," "
"102","",0,"Antiaris-type toxicaria"," "
"103","",0,"Adenia lobata-type"," "
"104","",0,"Verbenaceae type"," "
"105","",0,"Clerodendrum"," "
"106","",0,"Irvingia-type gabonensis"," "
"107","",0,"Allophylus africanus-type"," "
"108","",0,"Lecaniodiscus-type"," "
