"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Dracaena"," "
"2","",0,"Alchornea"," "
"3","",0,"Syzygium"," "
"4","",0,"Fagara"," "
"5","",0,"Gramineae"," "
"6","",0,"Pteridophytae"," "
"7","",0,"Indetermines"," "
"8","",0,"Polygonum"," "
"9","",0,"Cyperaceae"," "
"10","",0,"Amaranthaceae"," "
"11","",0,"Compositae"," "
"12","",0,"Macaranga"," "
"13","",0,"Phyllanthus"," "
"14","",0,"Ficus"," "
"15","",0,"Nymphaea"," "
"16","",0,"Podocarpus"," "
"17","",0,"Canthium"," "
"18","",0,"Allophylus"," "
"19","",0,"Typha"," "
"20","",0,"Acalypha"," "
"21","",0,"Euphorbia"," "
"22","",0,"Hypericum"," "
"23","",0,"Hymenocardia"," "
"24","",0,"Myrica"," "
"25","",0,"Jasminum"," "
"26","",0,"Solanum"," "
"27","",0,"Grewia"," "
"28","",0,"Umbelliferae"," "
"29","",0,"Urticaceae"," "
"30","",0,"Celtis"," "
"31","",0,"Combretaceae"," "
"32","",0,"Ericaceae"," "
"33","",0,"Impatiens"," "
"34","",0,"Loranthaceae"," "
"35","",0,"Schefflera"," "
"36","",0,"Albizzia"," "
"37","",0,"Justicia"," "
"38","",0,"Rhus"," "
"39","",0,"Ilex"," "
"40","",0,"Polyscias"," "
"41","",0,"Croton"," "
"42","",0,"Apodytes"," "
"43","",0,"Olea"," "
"44","",0,"Kotschya"," "
"45","",0,"Vigna"," "
"46","",0,"Polygala"," "
"47","",0,"Protea"," "
"48","",0,"Clematis"," "
"49","",0,"Hagenia"," "
"50","",0,"Trema"," "
"51","",0,"Sapium"," "
"52","",0,"Ziziphus"," "
"53","",0,"Pavetta"," "
"54","",0,"Maytenus"," "
"55","",0,"Dombeya"," "
"56","",0,"Haloragaceae"," "
"57","",0,"Mitragyna"," "
"58","",0,"Cissus"," "
"59","",0,"Indigofera"," "
"60","",0,"Ocimum"," "
"61","",0,"Kalanchoe"," "
"62","",0,"Maesa"," "
"63","",0,"Carapa/Ekebergia"," "
"64","",0,"Entandrophragma"," "
"65","",0,"Strombosia"," "
"66","",0,"Neoboutonia"," "
"67","",0,"Abutilon"," "
"68","",0,"Basella"," "
"69","",0,"Hyptis"," "
"70","",0,"Markhamia"," "
