"","CodeNames","CodeNums","FullNames","Sums"
"1","",0,"Antrocaryon-type"," "
"2","",0,"Trichoscypha-type"," "
"3","",0,"Berlinia-type"," "
"4","",0,"Maranthes-type"," "
"5","",0,"Diospyros"," "
"6","",0,"Anthostema-type"," "
"7","",0,"Alchornea"," "
"8","",0,"Uapaca"," "
"9","",0,"Symphonia globulifera"," "
"10","",0,"Pentaclethra macrophylla"," "
"11","",0,"Pycnanthus"," "
"12","",0,"Syzygium"," "
"13","",0,"Fagara"," "
"14","",0,"Pausinystalia"," "
"15","",0,"Sapotaceae"," "
"16","",0,"Gramineae"," "
"17","",0,"Elaeis guineensis"," "
"18","",0,"Acridocarpus"," "
"19","",0,"Bridelia"," "
"20","",0,"Celastraceae"," "
"21","",0,"Combretaceae-type"," "
"22","",0,"Indetermines"," "
"23","",0,"Indeterminables"," "
"24","",0,"Rhizophora"," "
"25","",0,"Alstonia-type"," "
"26","",0,"Pandanus"," "
"27","",0,"Calpocalyx-type"," "
"28","",0,"Tetrorchidium"," "
"29","",0,"Cyperaceae"," "
"30","",0,"Monocotyledoneae"," "
"31","",0,"Amaranthaceae"," "
"32","",0,"Compositae"," "
"33","",0,"Macaranga"," "
"34","",0,"Irvingia"," "
"35","",0,"Anthocleista"," "
"36","",0,"Tapinanthus"," "
"37","",0,"Moraceae"," "
"38","",0,"Ficus"," "
"39","",0,"Raphia"," "
"40","",0,"Podocarpus"," "
"41","",0,"Canthium"," "
"42","",0,"Allophylus"," "
"43","",0,"Typha"," "
"44","",0,"Monoletes"," "
"45","",0,"Triletes"," "
"46","",0,"Polypodiaceae"," "
"47","",0,"Caesalpinioideae"," "
"48","",0,"Harungana madagascariensis"," "
"49","",0,"Piptadenia-type"," "
"50","",0,"Nymphaea lotus-type"," "
"51","",0,"Polygonum senegalense-type"," "
"52","",0,"Hallea-type rubrostipulata"," "
"53","",0,"Stipularia africana"," "
"54","",0,"Lygodium microphyllum"," "
"55","",0,"Ganophyllum"," "
"56","",0,"Grewia"," "
"57","",0,"Papilionoideae"," "
"58","",0,"Phoenix"," "
"59","",0,"Sclerosperma"," "
"60","",0,"Olacaceae"," "
"61","",0,"Urticaceae"," "
"62","",0,"Tetracera alnifolia"," "
"63","",0,"Phyllanthus reticularus-type"," "
"64","Chron1",0,"Sample age"," "
"65","Chron10",0,"Sample age"," "
